0:0:0:0:0:0:0:1 - - [29/Apr/2021:13:59:08 +0530] "GET /SpringMVCDemo/ HTTP/1.1" 200 506
0:0:0:0:0:0:0:1 - - [29/Apr/2021:13:59:08 +0530] "GET /SpringMVCDemo/css/index-main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:13:59:16 +0530] "POST /SpringMVCDemo/add HTTP/1.1" 200 242
0:0:0:0:0:0:0:1 - - [29/Apr/2021:13:59:16 +0530] "GET /SpringMVCDemo/css/display-main.css HTTP/1.1" 200 250
0:0:0:0:0:0:0:1 - - [29/Apr/2021:13:59:34 +0530] "POST /SpringMVCDemo/add HTTP/1.1" 200 242
0:0:0:0:0:0:0:1 - - [29/Apr/2021:13:59:35 +0530] "GET /SpringMVCDemo/css/display-main.css HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [29/Apr/2021:13:59:56 +0530] "POST /SpringMVCDemo/add HTTP/1.1" 200 242
0:0:0:0:0:0:0:1 - - [29/Apr/2021:13:59:56 +0530] "GET /SpringMVCDemo/css/display-main.css HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [29/Apr/2021:14:00:42 +0530] "POST /SpringMVCDemo/add HTTP/1.1" 200 242
0:0:0:0:0:0:0:1 - - [29/Apr/2021:14:00:42 +0530] "GET /SpringMVCDemo/css/display-main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:14:01:21 +0530] "POST /SpringMVCDemo/add HTTP/1.1" 200 242
0:0:0:0:0:0:0:1 - - [29/Apr/2021:14:01:21 +0530] "GET /SpringMVCDemo/css/display-main.css HTTP/1.1" 200 250
0:0:0:0:0:0:0:1 - - [29/Apr/2021:14:02:10 +0530] "POST /SpringMVCDemo/add HTTP/1.1" 200 242
0:0:0:0:0:0:0:1 - - [29/Apr/2021:14:02:10 +0530] "GET /SpringMVCDemo/css/display-main.css HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [29/Apr/2021:14:02:36 +0530] "POST /SpringMVCDemo/add HTTP/1.1" 200 242
0:0:0:0:0:0:0:1 - - [29/Apr/2021:14:02:36 +0530] "GET /SpringMVCDemo/css/display-main.css HTTP/1.1" 200 291
0:0:0:0:0:0:0:1 - - [29/Apr/2021:14:02:49 +0530] "POST /SpringMVCDemo/add HTTP/1.1" 200 242
0:0:0:0:0:0:0:1 - - [29/Apr/2021:14:02:49 +0530] "GET /SpringMVCDemo/css/display-main.css HTTP/1.1" 200 281
